CLUE,CLAVE JUR,NOMBRE DE LA UNIDAD INTERNA EN NÓMINA,ESTATUS DE OPERACIÓN,,,,NIVEL DE ATENCIÓN,,
CSSSA018805,1,CLINICA DE LA MUJER PONIENTE,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017336,1,ALMACEN JURISDICCIONAL (TUXTLA GUTIERREZ),EN OPERACIÓN,NULL,NULL,NULL,NO APLICA,NULL,NULL
CSSSA009290,1,CENTRO DE SALUD CON SERVICIOS AMPLIADOS DR MANUEL VELASCO SUAREZ NICOLAS RUIZ,EN OPERACION,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009360,1,CENTRO DE SALUD CON SERVICIOS AMPLIADOS OCOTEPEC DR MANUEL VELASCO SUAREZ,EN OPERACION,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017230,2,OFICINA JURISDICCIONAL No. II (SAN CRISTOBAL DE LAS CASAS),EN OPERACIÓN,NULL,NULL,NULL,NO APLICA,NULL,NULL
CSSSA005785,2,CENTRO DE SALUD URBANO 12 NB SAN CRISTOBAL LAS CASAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005814,2,CENTRO DE SALUD RURAL 1 NB MITZITON SAN CRISTOBAL DE LAS CASAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005522,2,CASA DE SALUD IXTAPILLA LAS ROSAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006835,2,CENTRO DE SALUD RURAL 1 NB TENEJAPA ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001474,2,CENTRO DE SALUD RURAL 1 NB SACLAMANTON CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001433,2,CENTRO DE SALUD RURAL 1 NB ICALUMTIC CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001462,2,CENTRO DE SALUD RURAL 1 NB ROMERILLO CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001445,2,CENTRO DE SALUD RURAL 1 NB JOMALHO CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008701,2,CENTRO DE SALUD RURAL 1 NB BASHEQUEM CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019341,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB MAJOMUT CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006876,2,CENTRO DE SALUD URBANO 5 NB TEOPISCA ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019522,2,CENTROS DE SALUD CON SERVICIOS AMPLIADOS ALDAMA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001614,2,CENTRO DE SALUD CON HOSPITALIZACION YABTECLUM PUEBLO NUEVO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001585,2,CENTRO DE SALUD RURAL 1 NB CHIMIX DOS CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA020123,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB JOLXIC CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001573,2,CENTRO DE SALUD RURAL 1 NB BELISARIO DOMINGUEZ CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001602,2,CENTRO DE SALUD RURAL 1 NB COLONIA PUEBLA CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001561,2,CENTRO DE SALUD RURAL 2 NB CHENALHO ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002524,2,CENTRO DE SALUD RURAL 1 NB YALCUC HUIXTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002500,2,CENTRO DE SALUD RURAL 1 NB SAN PEDRO PEDERNAL HUIXTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002483,2,CENTRO DE SALUD RURAL 1 NB LAZARO CARDENAS CHILIL HUIXTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002512,2,CENTRO DE SALUD RURAL 1 NB SAN PEDRO LA TEJERIA HUIXTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003113,2,CENTRO DE SALUD RURAL 2 NB SAN ANDRES LARRAINZAR ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003130,2,CENTRO DE SALUD RURAL 1 NB STENLEJSOSTETIC LARRAINZAR,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006905,2,CENTRO DE SALUD RURAL 2 NB BETANIA TEOPISCA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012883,2,UNIDAD MOVIL SAN ISIDRO CHICHIUISTAN TEOPISCA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001532,2,CENTRO DE SALUD CON HOSPITALIZACIONACION CHANAL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004496,2,CENTRO DE SALUD CON HOSPITALIZACION OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004566,2,CENTRO DE SALUD RURAL 1 NB TZONTEALJA OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005510,2,CENTRO DE SALUD URBANO 5 NB LAS ROSAS LAS ROSAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005551,2,CASA DE SALUD SAN ANTONIO EL PARAJE LAS ROSAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006840,2,CENTRO DE SALUD RURAL 1 NB MATZAM TENEJAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008380,2,CENTRO DE SALUD RURAL 1 NB NACHING ZINACANTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008392,2,CENTRO DE SALUD RURAL 2 NB NAVENCHAUC ZINACANTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017801,2,CENTROS DE SALUD CON SERVICIOS AMPLIADOS ZINACANTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008433,2,CENTRO DE SALUD RURAL 1 NB CHILOLJA SAN JUAN CANCUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017743,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB BALUNACO CHALCHIHUITAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019971,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB TZUNUNIL CHALCHIHUITAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009063,2,CENTRO DE SALUD RURAL 1 NB CALLEJON CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019394,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB CATISHTIC CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001421,2,CASA DE SALUD CRUZ QUEMADA CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018950,2,CENTRO DE SALUD RURAL 1 NB CHILIMJOVELTIC CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019406,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB JOLBON CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018933,2,CENTRO DE SALUD RURAL 1 NB MACVILHO CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001450,2,CENTRO DE SALUD RURAL 1 NB RANCHO NARVAEZ CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019423,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB PAJALTON ALTO CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019382,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB TZAJALCHEN CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001491,2,CASA DE SALUD CRUZ CHOT CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019411,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB LAS MINAS CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001503,2,CASA DE SALUD NICHEN CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001515,2,CASA DE SALUD JOLNAJOLTIC CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001520,2,CENTRO DE SALUD RURAL 1 NB MAJOMUT CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019201,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB YUT BASH UNO CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017755,2,CENTRO DE SALUD RURAL 1 NB NATILTON CHANAL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019353,2,CENTRO DE SALUD RURAL 1 NB SIBERIA CHANAL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019213,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB CHIMTIC CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019184,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB LA LIBERTAD CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019464,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB  ZANEMBOLOM CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019324,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB YIBELJOJ CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017772,2,CENTRO DE SALUD RURAL 1 NB TZAJALCHEN CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017760,2,CENTRO DE SALUD RURAL 1 NB MAJUMPEPEN CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019225,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB CHIXILTON CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA020082,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB YIBELJOJ CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019300,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB SAN ANDRES PUERTO RICO HUIXTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019312,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB SANTA ROSA HUIXTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003125,2,CENTRO DE SALUD RURAL 1 NB BAYALEMHO DOS LARRAINZAR,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA020205,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB MUCTAHUITZ LARRAINZAR,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008923,2,CASA DE SALUD TZUBET LARRAINZAR,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003702,2,CENTRO DE SALUD RURAL 1 NB MITONTIC ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003714,2,CENTRO DE SALUD RURAL 1 NB CHALAM MITONTIC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008713,2,CENTRO DE SALUD RURAL 1 NB CHAONIL OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019365,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB CHULNA OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008725,2,CENTRO DE SALUD RURAL 1 NB LELENCHIG OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004530,2,CENTRO DE SALUD RURAL 1 NB MESBILJA OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004542,2,CENTRO DE SALUD RURAL 1 NB EL NIZ OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019196,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB PASHTONTICJA OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019452,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB TOLBILJA OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019370,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB TZOPILJA OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004583,2,CENTRO DE SALUD RURAL 1 NB GUADALUPE BACJA OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019942,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB  EL RETIRO OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008952,2,CASA DE SALUD TZAJALCHEM OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018921,2,CENTRO DE SALUD RURAL 1 NB LAS LIMAS PANTELHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019440,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB SAN JOAQUIN PANTELHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004904,2,CASA DE SALUD EL CAMPO PANTELHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005546,2,CENTRO DE SALUD RURAL 1 NB CHIPILINAR LAS ROSAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012994,2,CENTRO DE SALUD URBANO 12 NB SAN CRISTOBAL DE LAS CASAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008935,2,CASA DE SALUD CORAZON DE MARIA SAN CRISTOBAL DE LAS CASAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005790,2,CASA DE SALUD EL MANZANILLO SAN CRISTOBAL DE LAS CASAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005802,2,CASA DE SALUD ZACUALPA ECATEPEC SAN CRISTOBAL DE LAS CASAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005826,2,CASA DE SALUD SAN ANTONIO LOS BAÑOS SAN CRISTOBAL DE LAS CASAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005831,2,CASA DE SALUD SAN ANTONIO LAS ROSAS SAN CRISTOBAL DE LAS CASAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006852,2,CENTRO DE SALUD RURAL 1 NB SHISHINTONIL TENEJAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009051,2,CENTRO DE SALUD RURAL 1 NB TS'AKIBILJOK TENEJAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019336,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB CAÑADA GRANDE TENEJAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006893,2,CASA DE SALUD DOLORES TEOPISCA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008976,2,CASA DE SALUD GALILEA TEOPISCA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006910,2,CASA DE SALUD JERUSALEN TEOPISCA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006922,2,CASA DE SALUD VISTA HERMOSA TEOPISCA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008964,2,CASA DE SALUD JARDIN DEL NUEVO EDEN TEOPISCA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008375,2,CENTRO DE SALUD RURAL 1 NB CHIQUINIVALVO ZINACANTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019435,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB PINAR SALINAS ZINACANTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008421,2,CASA DE SALUD CHACTOJ ZINACANTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017784,2,CENTROS DE SALUD CON SERVICIOS AMPLIADOS SAN JUAN CANCUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA020094,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB CRUSILJA SAN JUAN CANCUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019283,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB CHILOLJA SAN JUAN CANCUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008445,2,CENTRO DE SALUD RURAL 1 NB CHACTE SAN JUAN CANCUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008450,2,CENTRO DE SALUD RURAL 1 NB ONILTIC SAN JUAN CANCUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019271,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB TZULUWITZ SAN JUAN CANCUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019254,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB YASHNAIL SAN JUAN CANCUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019266,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB BAPUZ SAN JUAN CANCUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018945,2,CENTRO DE SALUD RURAL 1 NB ICO ALDAMA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019966,2,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB REVOLUCION FIU ALDAMA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019493,2,CENTROS DE SALUD CON SERVICIOS AMPLIADOS SANTIAGO EL PINAR,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005773,2,HOSPITAL DE LA MUJER SAN CRISTOBAL DE LAS CASAS,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA018764,2,HOSPITAL DE LAS CULTURAS SAN CRISTOBAL DE LAS CASAS,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA018793,2,HOSPITAL BASICO COMUNITARIO DE CHALCHIHUITAN,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA019481,2,HOSPITAL BASICO COMUNITARIO DE SAN JUAN CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA017726,2,HOSPITAL BASICO COMUNITARIO DE LARRAINZAR,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA018752,2,HOSPITAL BASICO COMUNITARIO DE TEOPISCA,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA019476,2,HOSPITAL BASICO COMUNITARIO OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA009261,2,HOSPITAL BÁSICO COMUNITARIO LAS ROSAS,EN OPERACION,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA012901,2,UNIDAD MOVIL LA MERCED AMATENANGO DEL VALLE,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012910,2,UNIDAD MOVIL TZACUCUM CHALCHIHUITAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012925,2,UNIDAD MOVIL ICHINTON CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002495,2,UNIDAD MOVIL MACUSHTETIC CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012934,2,UNIDAD MOVIL JUAN DIEGO X'OYEP CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012952,2,UNIDAD MOVIL CRUZTON OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012943,2,UNIDAD MOVIL PACVILNA OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012961,2,UNIDAD MOVIL SAN MATEO LAS ROSAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA020024,2,UNIDAD MOVIL AGUA DE PAJARITO SAN CRISTOBAL L.C.,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012892,2,UNIDAD MOVIL LA LIBERTAD TENEJAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012874,2,UNIDAD MOVIL NAILCHEN SAN JUAN CANCUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012242,2,UNIDAD MOVIL CARAVANA PACANAM CHALCHIHUITAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017965,2,UNIDAD MOVIL CARAVANA TIPO 2 JOCOSIC CHAMULA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018991,2,UNIDAD MOVIL CARAVANA TIPO 0 TZABALHO CHENALHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018385,2,UNIDAD MOVIL CARAVANA TIPO 0 POCOLTON LARRAINZAR,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012225,2,UNIDAD MOVIL CARAVANA TIPO 0  CONOILJA OXCHUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018291,2,UNIDAD MOVIL CARAVANA TIPO 0 LOS MANGOS PANTELHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018146,2,UNIDAD MOVIL CARAVANA TIPO 0 SAN CARLOS CORRALITO PANTELHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012721,2,UNIDAD MOVIL CARAVANA TIPO 0 LA VICTORIA PANTELHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018151,2,UNIDAD MOVIL CARAVANA TIPO 0 SAN JOSE BUENAVISTA TERCERO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017813,2,UNIDAD MOVIL CARAVANA TIPO 3 TZAJALA TEOPISCA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018134,2,UNIDAD MOVIL CARAVANA TIPO 0 JUC'NIL SAN JUAN CANCUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018356,2,UNIDAD MOVIL CARAVANA TIPO 0  LA PALMA UNO SAN JUAN CANCUC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018204,2,UNIDAD MOVIL CARAVANA TIPO 0 SAN CARALA AMATENANGO DEL VALLE,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019015,2,UNIDAD MOVIL CARAVANA TIPO 0 JOCOSIC HUIXTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017953,2,UNIDAD MOVIL CARAVANA TIPO 2 SAN JOSE HUIXTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018390,2,UNIDAD MOVIL CARAVANA TIPO 1 MEONHO LARRAINZAR,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019003,2,UNIDAD MOVIL CARAVANA TIPO 0 LA PROVIDENCIA PANTELHO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012730,2,UNIDAD MOVIL CARAVANA TIPO 0 APAS ZINACANTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
